product,mass_kg,material_id,countryMaking,impact_ecs
chaussettes,0.19,ei-pp,PK,1205.0321020536398
manteau,3.03,ei-pet,BD,22171.95718071296
maillot-de-bain,0.39,ei-lin,ROC,2931.816491668806
manteau,3.76,ei-pa,IN,29075.08468641098
chaussettes,0.09,ei-lin,REO,529.9056103576535
jupe,0.56,ei-laine-nouvelle-filiere,MA,4545.516100440875
maillot-de-bain,0.28,ei-lin,REO,1755.3126338094653
pantalon,0.92,coton-rdp,RLA,7435.863547067656
tshirt,0.18,ei-lin,MA,1367.5385842337962
slip,0.04,ei-lin,MA,342.98415756730344
manteau,3.37,ei-chanvre,---,25734.227234424827
tshirt,0.47,elasthane,RNA,4530.191493665516
maillot-de-bain,0.35,ei-viscose,MA,2450.5349411188176
chaussettes,0.16,ei-chanvre,CN,1101.2632516175668
manteau,2.74,ei-pet,CN,20144.37599343273
calecon,0.05,ei-pet,RME,458.6522522079632
slip,0.08,ei-acrylique,---,746.3263990450728
maillot-de-bain,0.09,elasthane,RNA,775.5459901356778
calecon,0.05,coton-rdpc,TN,444.8784616930389
jean,0.3224223799530678,coton-rdp,KH,2867.244061817428
pantalon,1.41,ei-coton,TN,15735.263321408886
manteau,2.09,ei-pa,CN,16382.582234103947
chemise,0.170411410099203,elasthane,RAS,1658.9623626916523
jupe,0.69,ei-laine-par-defaut,RAS,9811.917803563114
slip,0.05,ei-pa,REO,415.277652212708
maillot-de-bain,0.06,ei-pet,CN,449.9366422593978
calecon,0.16,coton-rdpc,RNA,1469.3085316834438
tshirt,0.44,ei-coton,KH,5194.296059517255
calecon,0.13,ei-chanvre,TR,1155.700463809739
pantalon,0.18,ei-laine-par-defaut,RAF,2706.51375631621
tshirt,0.12,ei-chanvre,KH,1062.7118840910423
slip,0.11,ei-coton-organic,REO,973.5471597961708
jean,0.8133037424870658,ei-chanvre,PK,7059.848129774427
jean,1.1257439817219903,ei-acrylique,MA,9395.95516017762
manteau,2.31,ei-pp,RNA,16260.287886487464
pantalon,0.55,ei-chanvre,RAS,4680.767417518639
pull,0.21,ei-laine-nouvelle-filiere,VN,1773.585463214038
jupe,0.91,ei-coton-organic,TR,7414.656615620466
jean,0.8638666813574398,ei-pet-r,---,7090.249311541329
jean,1.3430581315823338,ei-laine-par-defaut,REE,19849.354971217308
chemise,0.3397814927344094,coton-rdpc,TR,2488.844332253867
slip,0.1,ei-pp,RAS,828.6626359155799
slip,0.07,ei-chanvre,BD,631.3632225422888
pull,0.49,ei-coton-organic,TN,3846.381824243385
maillot-de-bain,0.32,coton-rdpc,REO,2036.4128972224005
tshirt,0.44,ei-coton,MA,4878.181243933901
slip,0.06,ei-laine-par-defaut,RAF,914.1252312681464
chaussettes,0.16,ei-pa,TR,1030.9205252777483
